poster,title,country
https://m.media-amazon.com/images/M/MV5BMjE1MjlmOWYtYzdjMS00OTgwLThjMDctZWU4N2FkZjgyNTJiXkEyXkFqcGc@._V1_SX300.jpg,Final Destination,"United States, Canada"
https://m.media-amazon.com/images/M/MV5BYjUyZjNmYmMtNjA1My00ZWMyLTliZGQtODgzZjIxM2Y4NGI1XkEyXkFqcGc@._V1_SX300.jpg,The Platform // El hoyo,Spain
https://m.media-amazon.com/images/M/MV5BODViMWU4YWEtNTU0My00ZTEwLWE1YWEtYjFhMTNmY2VlZTYwXkEyXkFqcGc@._V1_SX300.jpg,Para Betina Pengikut Iblis Part 2,Indonesia
https://m.media-amazon.com/images/M/MV5BNjQ5ODAyOTk3OF5BMl5BanBnXkFtZTcwNzQ1NjYyMQ@@._V1_SX300.jpg,Open Water,United States
https://m.media-amazon.com/images/M/MV5BMzBjNzg0ODQtMjJiYy00ZWNjLTk0MWEtNmFiNDdlMGNjM2YxXkEyXkFqcGc@._V1_SX300.jpg,Ghost House (2017),"United States, Thailand"
https://m.media-amazon.com/images/M/MV5BMTUxMjc2MTcxNV5BMl5BanBnXkFtZTcwMzgzOTY0MQ@@._V1_SX300.jpg,28 Weeks Later,"United Kingdom, Spain"
https://m.media-amazon.com/images/M/MV5BYmI3YjJkN2ItY2ZmYS00Y2JhLTk2YTQtYzE5YWU5ODI1MzJmXkEyXkFqcGc@._V1_SX300.jpg,Resident Evil (2002),"Germany, United Kingdom, France, Japan, United States"
https://m.media-amazon.com/images/M/MV5BYjdlMTNjZTYtOWJhMi00YWE5LWJhOGItYTllYjU0NWJmOTE0XkEyXkFqcGc@._V1_SX300.jpg,Sumala,Indonesia
https://m.media-amazon.com/images/M/MV5BNDA2ZjU5ZWMtMmQ4OS00ZTQzLWIwOWMtYTBmOTljYTIwNjM3XkEyXkFqcGc@._V1_SX300.jpg,Gerald's Game,United States
https://m.media-amazon.com/images/M/MV5BMTI0MzI5MTY1OV5BMl5BanBnXkFtZTcwMzU4MjYzMQ@@._V1_SX300.jpg,Feast // Apag,United States
https://m.media-amazon.com/images/M/MV5BZmEzZGMzMTctZGQ2Ny00MzAxLWIzOGMtNmJjMTA5MzM1NTlkXkEyXkFqcGc@._V1_SX300.jpg,Feng Shui (2004),Philippines
https://m.media-amazon.com/images/M/MV5BZjZmMDY4MzItYzVhOC00YmQ5LWFjMDgtYzk5ZDY1ZTFmN2ZjXkEyXkFqcGc@._V1_SX300.jpg,The First Purge,"Japan, United States"
https://m.media-amazon.com/images/M/MV5BZmUzYTFhN2QtZjgxNC00YzU2LTliYTktMGE1YTRlMWQ4N2QwXkEyXkFqcGc@._V1_SX300.jpg,There's Something in the Barn,"Norway, United States, France, Finland, Lithuania"
https://m.media-amazon.com/images/M/MV5BY2NjNTBjOWUtYzQyMS00YmU3LThlMTUtYTY3ZWRjYWY0ZGIzXkEyXkFqcGc@._V1_SX300.jpg,The Devil on Trial,United Kingdom
https://m.media-amazon.com/images/M/MV5BYmRkYTcyMDMtMTMxMC00MTcxLWE3NjItZGQzZjQ5OTNkNTg2XkEyXkFqcGc@._V1_SX300.jpg,Hatching // Pahanhautoja,"Finland, Sweden, Norway, Belgium"
https://m.media-amazon.com/images/M/MV5BNDY5ZGIwZjUtMmVhZi00OTBlLTk5ZTctOTY3Y2VlMGM1ZjI0XkEyXkFqcGc@._V1_SX300.jpg,Cobweb (2023),"United States, Bulgaria"
https://m.media-amazon.com/images/M/MV5BYjkwODM5ZWUtMjI2Ni00Y2RiLWJkNDYtZWQ2ZTRhMjI1N2FmXkEyXkFqcGc@._V1_SX300.jpg,Evil Dead,"United States, New Zealand, Australia"
https://m.media-amazon.com/images/M/MV5BZmNiNWM2ZmQtN2Q0MS00MjlmLTgyYTEtYmRiZWQ5NzY2YjFhXkEyXkFqcGc@._V1_SX300.jpg,Pee Nak 2 // พี่นาค 2,Thailand
https://m.media-amazon.com/images/M/MV5BNDI3NTRjNmItYjBkMS00OGRhLTk2MTEtNWM4OTA1MGU5NWExXkEyXkFqcGc@._V1_SX300.jpg,The Blackening,United States
https://m.media-amazon.com/images/M/MV5BMjM5MTExNzE0Ml5BMl5BanBnXkFtZTgwNjM5MDQ2MzE@._V1_SX300.jpg,R-Point // 알 포인트,South Korea
https://m.media-amazon.com/images/M/MV5BMTY0MDUwNzg5OV5BMl5BanBnXkFtZTgwNTY4NjU3MzI@._V1_SX300.jpg,The Babysitter,United States
https://m.media-amazon.com/images/M/MV5BM2NlY2U3ZWQtMGY4My00YTc4LWFiMTYtYjgxYmE4MTBhZjFhXkEyXkFqcGc@._V1_SX300.jpg,Disquiet (2023),United States
https://m.media-amazon.com/images/M/MV5BMzI3NzE0MmEtYmFjZC00NTJhLWI4OWUtNGRmNDEwNGU3NzM0XkEyXkFqcGc@._V1_SX300.jpg,Final Destination 3,"United States, Canada"
https://m.media-amazon.com/images/M/MV5BYjMxN2E4NTctYjYxZi00OTM5LTk3YTAtZmI0MjljN2VhNmY5XkEyXkFqcGc@._V1_SX300.jpg,The Exorcist: Believer,United States
https://m.media-amazon.com/images/M/MV5BODU3NTBiZTEtYTVkMC00Y2I2LWIzNzYtMWIyNDBhZTQ2Y2QxXkEyXkFqcGc@._V1_SX300.jpg,Spring Garden // 늘봄가든,South Korea
https://m.media-amazon.com/images/M/MV5BMTFhYzk5NzctMDcxMS00YzA1LTg2ZWMtYzE4ZmYwMDM2ODlhXkEyXkFqcGc@._V1_SX300.jpg,Fever Dream // Distancia de rescate,"Peru, Chile, Spain, United States"
https://m.media-amazon.com/images/M/MV5BMDFiY2NhOWMtMDU1Ni00MjA0LWIzNmMtNTQ0MzA1ZDc1OGRiXkEyXkFqcGc@._V1_SX300.jpg,Phenomena // Fenómenas,Italy
https://m.media-amazon.com/images/M/MV5BNjlmMWRhNDEtNzg0OS00OGUwLThlYTItZGNjZjJhNzBlNTZiXkEyXkFqcGc@._V1_SX300.jpg,Red Dot,Sweden
https://m.media-amazon.com/images/M/MV5BMjA2NjU5MTg5OF5BMl5BanBnXkFtZTgwOTkyMzQxMDE@._V1_SX300.jpg,Scream (2022),United States
https://m.media-amazon.com/images/M/MV5BNGJhZTNlNmYtN2YwNi00OWQwLThhNTUtY2NlOTYwZTQ5ZjNiXkEyXkFqcGc@._V1_SX300.jpg,Resident Evil: Retribution,"Germany, Canada, United States"
https://m.media-amazon.com/images/M/MV5BMTkwOTQ4OTg0OV5BMl5BanBnXkFtZTgwMzQyOTM0OTE@._V1_SX300.jpg,Train to Busan // 부산행,South Korea
https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,Get Out (2017),"Japan, United States"
https://m.media-amazon.com/images/M/MV5BMTY1NDk0NjI4MV5BMl5BanBnXkFtZTgwNjUyNzMwNjM@._V1_SX300.jpg,Apostle,"United Kingdom, United States"
https://m.media-amazon.com/images/M/MV5BMGRjM2JlMjgtMTAzOC00ZjRhLWI1NTEtMTcxNjc3ZmY0ZDhjXkEyXkFqcGc@._V1_SX300.jpg,The Swarm // La Nuée,United States
https://m.media-amazon.com/images/M/MV5BNmYzYWQxNmQtMDg0ZS00MTQyLTk3YmEtNzA2NTQwMTJkYmZlXkEyXkFqcGc@._V1_SX300.jpg,The Last Man on Earth // El último hombre sobre la Tierra,"United States, Italy"
https://m.media-amazon.com/images/M/MV5BNTUxNzYyMjg2N15BMl5BanBnXkFtZTcwMTExNzExNw@@._V1_SX300.jpg,The Cabin in the Woods,"Canada, United States"
