Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,EnglishTitle,OMDb_Title,OMDb_Year,OMDb_Rated,OMDb_Released,OMDb_Runtime,OMDb_Genre,OMDb_Director,OMDb_Writer,OMDb_Actors,OMDb_Plot,OMDb_Language,OMDb_Country,OMDb_Awards,OMDb_Poster,OMDb_Ratings,OMDb_Metascore,OMDb_imdbRating,OMDb_imdbVotes,OMDb_imdbID,OMDb_Type,OMDb_DVD,OMDb_BoxOffice,OMDb_Production,OMDb_Website,OMDb_Response,Error
The Secret Life of Pets,No,,"95,600,000",1:27,65900000,The Secret Life of Pets,The Secret Life of Pets,2016.0,PG,08 Jul 2016,86 min,"Animation, Adventure, Comedy",Chris Renaud,"Cinco Paul, Ken Daurio, Brian Lynch","Louis C.K., Eric Stonestreet, Kevin Hart","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",English,"Japan, United States",4 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMjIzMzA1OTkzNV5BMl5BanBnXkFtZTgwODE3MjM4NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61.0,6.5,"229,555",tt2709768,movie,,"$368,623,860",,,True,
Kinda Pregnant,Yes,2025-02-05,"98,100,000",1:40,58900000,Kinda Pregnant,Kinda Pregnant,2025.0,R,05 Feb 2025,97 min,"Comedy, Drama",Tyler Spindel,"Julie Paiva, Amy Schumer","Amy Schumer, Will Forte, Jillian Bell","When Lainy's plan to settle down and start a family falls apart, she puts on a fake baby bump, tells a lie and accidentally falls for her dream guy.",English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BYzA3Mjc0NTEtMjYyMS00OWNmLTg3MmYtN2E3MDNkMWQ4NjI0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38.0,4.9,"16,332",tt30253036,movie,,,,,True,
Nonnas,Yes,2025-05-09,"109,500,000",1:54,57600000,Nonnas,Nonnas,2025.0,PG,09 May 2025,111 min,Comedy,Stephen Chbosky,"Liz Maccie, Jody Scaravella","Vince Vaughn, Lorraine Bracco, Talia Shire","After losing his beloved mother, a man risks everything to honor her by opening an Italian restaurant with actual grandmothers as the chefs.",English,United States,Nominated for 1 Primetime Emmy. 1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BODM0M2M4YWQtMzhlNy00NjdkLWFkODktOGNlNTc4OTFiZjZmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,6.8,"34,490",tt28309594,movie,,,,,True,
iHostage,Yes,2025-04-18,"97,600,000",1:42,57400000,iHostage,iHostage,2025.0,TV-MA,18 Apr 2025,100 min,"Crime, Drama, Thriller",Bobby Boermans,"Bobby Boermans, Simon de Waal","Soufiane Moussouli, Admir Sehovic, Emmanuel Ohene Boafo","When a gunman enters an Apple Store in the heart of Amsterdam, the police face a delicate challenge to resolve the standoff. Based on true events.","Dutch, English","Netherlands, Belgium",,https://m.media-amazon.com/images/M/MV5BMGEyNWI4NjctY2NkYS00ZDY0LTkyNTUtOGRhM2UzNWYxOTc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",,5.7,"10,956",tt31181421,movie,,,,,True,
La Dolce Villa,Yes,2025-02-13,"91,500,000",1:39,55500000,La Dolce Villa,La Dolce Villa,2025.0,TV-14,13 Feb 2025,99 min,"Comedy, Romance",Mark Waters,"Elizabeth Hackett, Hilary Galanoy","Scott Foley, Violante Placido, Maia Reficco","A successful businessman travels to Italy to stop his daughter from spending all her money to restore an old villa, but Italy has other romantic plans.",English,United States,,https://m.media-amazon.com/images/M/MV5BNjJmM2VjODktY2UwMC00N2FiLThmOWEtOGFhZmM2MjI0MGVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44.0,6.0,"10,973",tt31519456,movie,,,,,True,
The Boss Baby,No,,"90,100,000",1:38,55200000,The Boss Baby,The Boss Baby,2017.0,PG,31 Mar 2017,97 min,"Animation, Adventure, Comedy",Tom McGrath,"Michael McCullers, Marla Frazee","Alec Baldwin, Steve Buscemi, Jimmy Kimmel","A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.","English, Spanish",United States,Nominated for 1 Oscar. 4 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BMTg5MzUxNzgxNV5BMl5BanBnXkFtZTgwMTM2NzQ3MjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50.0,6.3,"152,981",tt3874544,movie,,"$175,003,033",,,True,
Minions,No,,"82,100,000",1:31,54100000,Minions,Minions,2015.0,PG,10 Jul 2015,91 min,"Animation, Adventure, Comedy","Kyle Balda, Pierre Coffin",Brian Lynch,"Sandra Bullock, Jon Hamm, Michael Keaton","Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.","English, Spanish, Italian","United States, France",Nominated for 1 BAFTA Award4 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BODI4NzMyNjE0MF5BMl5BanBnXkFtZTgwMTcwNzI0MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56.0,6.4,"276,757",tt2293640,movie,,"$336,045,770",,,True,
Shrek,No,,"80,200,000",1:30,53500000,Shrek,Shrek,2001.0,PG,18 May 2001,90 min,"Animation, Adventure, Comedy","Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott, Terry Rossio","Mike Myers, Eddie Murphy, Cameron Diaz","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",English,United States,Won 1 Oscar. 40 wins & 60 nominations total,https://m.media-amazon.com/images/M/MV5BN2FkMTRkNTUtYTI0NC00ZjI4LWI5MzUtMDFmOGY0NmU2OGY1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84.0,7.9,"786,695",tt0126029,movie,,"$268,698,241",,,True,
Plankton: The Movie,Yes,2025-03-07,"74,200,000",1:28,50600000,Plankton: The Movie,Plankton: The Movie,2025.0,TV-PG,07 Mar 2025,87 min,"Animation, Adventure, Comedy","Dave Needham, Jonas Morganstein","Mr. Lawrence, Kaz, Chris Viscardi","Mr. Lawrence, Jill Talley, Tom Kenny","When Karen the Computer decides to take over the world, it's up to Plankton to stop her - with a little help from SpongeBob and the Gal Pals (Pearl, Sandy, and Mrs. Puff).",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BYmYyZjUzYjgtY2U1My00MTA4LTllNWEtNWU3ZThkOWRmMTY1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61.0,5.3,"3,728",tt32560777,movie,,,,,True,
Despicable Me 3,No,,"73,600,000",1:30,49100000,Despicable Me 3,Despicable Me 3,2017.0,PG,30 Jun 2017,89 min,"Animation, Adventure, Comedy","Kyle Balda, Pierre Coffin, Eric Guillon","Cinco Paul, Ken Daurio","Steve Carell, Kristen Wiig, Trey Parker","Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.",English,"United States, France",33 nominations total,https://m.media-amazon.com/images/M/MV5BNjUyNzQ2MTg3Ml5BMl5BanBnXkFtZTgwNzE4NDM3MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49.0,6.3,"172,871",tt3469046,movie,,"$264,624,300",,,True,
Carry-On,Yes,2024-12-13,"95,400,000",2:00,47700000,Carry-On,Carry-On,2024.0,PG-13,13 Dec 2024,119 min,"Action, Crime, Thriller",Jaume Collet-Serra,T.J. Fixman,"Taron Egerton, Jason Bateman, Sofia Carson",A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.,English,United States,6 nominations total,https://m.media-amazon.com/images/M/MV5BNTNkMjQzNmQtNzE4ZC00NDlmLTkyYjAtZDZkYTQ5NjBmYThlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69.0,6.5,"179,709",tt21382296,movie,,,,,True,
Despicable Me 2,No,,"75,000,000",1:38,45900000,Despicable Me 2,Despicable Me 2,2013.0,PG,03 Jul 2013,98 min,"Animation, Adventure, Comedy","Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio","Steve Carell, Kristen Wiig, Benjamin Bratt","When a new criminal comes to town, the Anti-Villain League decides to hire Gru in order to fight him off. While Gru initially refuses, he eventually agrees after his aide goes back to his evil ways.","English, Ukrainian","United States, France",Nominated for 2 Oscars. 12 wins & 66 nominations total,https://m.media-amazon.com/images/M/MV5BNDExNDllYzMtZjdmOS00NWMwLWJlY2EtMDk2ZjE5MmZiOWY5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62.0,7.3,"448,848",tt1690953,movie,,"$368,065,385",,,True,
Shrek 2,No,,"69,000,000",1:33,44500000,Shrek 2,Shrek 2,2004.0,PG,19 May 2004,93 min,"Animation, Adventure, Comedy","Andrew Adamson, Kelly Asbury, Conrad Vernon","William Steig, Andrew Adamson, Joe Stillman","Mike Myers, Eddie Murphy, Cameron Diaz","Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",English,United States,Nominated for 2 Oscars. 18 wins & 52 nominations total,https://m.media-amazon.com/images/M/MV5BMzNmNjQ1NmUtNzhiZS00YWE2LTg4N2ItZTA2ODdmOTMwOTQ1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,7.4,"538,651",tt0298148,movie,,"$444,978,202",,,True,
Bad Influence // Mala influencia,Yes,2025-05-09,"78,600,000",1:47,44100000,Bad Influence,Bad Influence,1990.0,R,09 Mar 1990,99 min,"Drama, Thriller",Curtis Hanson,David Koepp,"Rob Lowe, James Spader, Palmer Lee Todd",A soft and hesitant young man is in danger when he tries to break toxic relationships with a mysterious stranger claiming to be his friend.,English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZGViYTNjMTktMTQ3OS00NWNkLTk2Y2MtMGQ4M2JjZTUwOGRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63.0,6.3,"11,560",tt0099091,movie,,"$12,626,043",,,True,
K.O.,Yes,2025-06-06,"63,100,000",1:27,43500000,K.O.,K.O.,2025.0,TV-MA,06 Jun 2025,86 min,"Action, Adventure, Drama",Antoine Blossier,"Guillaume Lemans, Louis Aubert, Clément Marchand","Ciryl Gane, Alice Belaïdi, Foued Nabba","After accidentally killing his rival in an MMA bout, a man has the chance to make it up to the widow by finding her son.",French,"France, Belgium",,https://m.media-amazon.com/images/M/MV5BZTExNjM4NzAtY2FiZS00M2VmLWE1MjUtNWM1MTk3YTg1ZjQwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",,5.8,"4,221",tt36240772,movie,,,,,True,
A Widow's Game // La viuda negra,Yes,2025-05-30,"83,900,000",2:02,41300000,A Widow's Game,A Widow's Game,2025.0,TV-MA,30 May 2025,122 min,"Crime, Drama, Mystery",Carlos Sedes,"Ramón Campos, Gema R. Neira, Jon de la Cuesta","Carmen Machi, Ivana Baquero, Tristán Ulloa",A murder mystery about a young widow who is the prime suspect in her husband's stabbing death.,"Spanish, Catalan",Spain,,https://m.media-amazon.com/images/M/MV5BNDAxYTVmMTYtOGYzYi00YjFkLTkyMGEtMzc0MTUzZmY3YzFjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",,6.2,"6,243",tt33474172,movie,,,,,True,
Sing (2016),No,,"73,900,000",1:48,41100000,Sing,Sing,2016.0,PG,21 Dec 2016,108 min,"Animation, Comedy, Family","Garth Jennings, Christophe Lourdelet",Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","English, Japanese","Japan, United States",3 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59.0,7.1,"206,430",tt3470600,movie,,"$270,578,425",,,True,
Venom: The Last Dance,No,,"71,900,000",1:49,39600000,Venom: The Last Dance,Venom: The Last Dance,2024.0,PG-13,25 Oct 2024,110 min,"Action, Adventure, Sci-Fi",Kelly Marcel,"Kelly Marcel, Tom Hardy, Todd McFarlane","Tom Hardy, Chiwetel Ejiofor, Juno Temple",Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.,English,"United States, United Kingdom, Canada",1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BZDMyYWU4NzItZDY0MC00ODE2LTkyYTMtMzNkNDdmYmFhZDg0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41.0,6.0,"138,293",tt16366836,movie,,"$139,755,882",,,True,
The Super Mario Bros. Movie,No,,"59,700,000",1:32,38900000,The Super Mario Bros. Movie,The Super Mario Bros. Movie,2023.0,PG,05 Apr 2023,92 min,"Animation, Adventure, Comedy","Aaron Horvath, Michael Jelenic, Pierre Leduc",Matthew Fogel,"Chris Pratt, Anya Taylor-Joy, Charlie Day","Brooklyn plumbers Mario and Luigi are warped to the magical Mushroom Kingdom, and Mario must team up with Princess Peach, Toad, and Donkey Kong to save Luigi from the evil Bowser.",English,"Japan, United States",2 wins & 49 nominations total,https://m.media-amazon.com/images/M/MV5BOGZlN2EzOTYtMzUzOS00NTM3LTg0MTQtZDVjZGM4YmJlNWNhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,7.0,"276,516",tt6718170,movie,,"$574,934,330",,,True,
The Croods,No,,"62,400,000",1:38,38200000,The Croods,The Croods,2013.0,PG,22 Mar 2013,98 min,"Animation, Adventure, Comedy","Kirk DeMicco, Chris Sanders","Kirk DeMicco, Chris Sanders, John Cleese","Nicolas Cage, Ryan Reynolds, Emma Stone","In the primeval era, Grug and his family risk the dangers of their surroundings to find a new dwelling place. Along the way, they meet a modern boy who woos them with his adventurous ways.",English,United States,Nominated for 1 Oscar. 5 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMTcyOTc2OTA1Ml5BMl5BanBnXkFtZTcwOTI1MjkzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.0,7.1,"245,602",tt0481499,movie,,"$187,168,425",,,True,
KPop Demon Hunters,Yes,2025-06-20,"61,100,000",1:40,36700000,KPop Demon Hunters,KPop Demon Hunters,2025.0,PG,20 Jun 2025,95 min,"Animation, Action, Adventure","Chris Appelhans, Maggie Kang","Danya Jimenez, Hannah McMechan, Maggie Kang","Arden Cho, May Hong, Ji-young Yoo",A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.,"English, Korean","United States, Canada",,https://m.media-amazon.com/images/M/MV5BNTBiYWJlMjQtOTIyMy00NTY4LWFhOWItOWZhNzc3NGMyMjc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77.0,7.7,"63,787",tt14205554,movie,,"$18,000,000",,,True,
Despicable Me,No,,"57,100,000",1:35,36100000,Despicable Me,Despicable Me,2010.0,PG,09 Jul 2010,95 min,"Animation, Adventure, Comedy","Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio, Sergio Pablos","Steve Carell, Jason Segel, Russell Brand","Gru, a criminal mastermind, adopts three orphans as pawns to carry out the biggest heist in history. His life takes an unexpected turn when the little girls see the evildoer as their potential father.",English,"United States, France",Nominated for 1 BAFTA Award3 wins & 41 nominations total,https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,7.6,"616,759",tt1323594,movie,,"$251,683,815",,,True,
Honeymoon Crasher // Lune de miel avec ma mère,Yes,2025-02-12,"55,200,000",1:35,34900000,Honeymoon Crasher,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!
